"","ID","Group","Time","Weight"
"1","1","1","WD1",240
"2","2","1","WD1",225
"3","3","1","WD1",245
"4","4","1","WD1",260
"5","5","1","WD1",255
"6","6","1","WD1",260
"7","7","1","WD1",275
"8","8","1","WD1",245
"9","9","2","WD1",410
"10","10","2","WD1",405
"11","11","2","WD1",445
"12","12","2","WD1",555
"13","13","3","WD1",470
"14","14","3","WD1",535
"15","15","3","WD1",520
"16","16","3","WD1",510
"17","1","1","WD8",250
"18","2","1","WD8",230
"19","3","1","WD8",250
"20","4","1","WD8",255
"21","5","1","WD8",260
"22","6","1","WD8",265
"23","7","1","WD8",275
"24","8","1","WD8",255
"25","9","2","WD8",415
"26","10","2","WD8",420
"27","11","2","WD8",445
"28","12","2","WD8",560
"29","13","3","WD8",465
"30","14","3","WD8",525
"31","15","3","WD8",525
"32","16","3","WD8",510
"33","1","1","WD15",255
"34","2","1","WD15",230
"35","3","1","WD15",250
"36","4","1","WD15",255
"37","5","1","WD15",255
"38","6","1","WD15",270
"39","7","1","WD15",260
"40","8","1","WD15",260
"41","9","2","WD15",425
"42","10","2","WD15",430
"43","11","2","WD15",450
"44","12","2","WD15",565
"45","13","3","WD15",475
"46","14","3","WD15",530
"47","15","3","WD15",530
"48","16","3","WD15",520
"49","1","1","WD22",260
"50","2","1","WD22",232
"51","3","1","WD22",255
"52","4","1","WD22",265
"53","5","1","WD22",270
"54","6","1","WD22",275
"55","7","1","WD22",270
"56","8","1","WD22",268
"57","9","2","WD22",428
"58","10","2","WD22",440
"59","11","2","WD22",452
"60","12","2","WD22",580
"61","13","3","WD22",485
"62","14","3","WD22",533
"63","15","3","WD22",540
"64","16","3","WD22",515
"65","1","1","WD29",262
"66","2","1","WD29",240
"67","3","1","WD29",262
"68","4","1","WD29",265
"69","5","1","WD29",270
"70","6","1","WD29",275
"71","7","1","WD29",273
"72","8","1","WD29",270
"73","9","2","WD29",438
"74","10","2","WD29",448
"75","11","2","WD29",455
"76","12","2","WD29",590
"77","13","3","WD29",487
"78","14","3","WD29",535
"79","15","3","WD29",543
"80","16","3","WD29",530
"81","1","1","WD36",258
"82","2","1","WD36",240
"83","3","1","WD36",265
"84","4","1","WD36",268
"85","5","1","WD36",273
"86","6","1","WD36",277
"87","7","1","WD36",274
"88","8","1","WD36",265
"89","9","2","WD36",443
"90","10","2","WD36",460
"91","11","2","WD36",455
"92","12","2","WD36",597
"93","13","3","WD36",493
"94","14","3","WD36",540
"95","15","3","WD36",546
"96","16","3","WD36",538
"97","1","1","WD43",266
"98","2","1","WD43",243
"99","3","1","WD43",267
"100","4","1","WD43",270
"101","5","1","WD43",274
"102","6","1","WD43",278
"103","7","1","WD43",276
"104","8","1","WD43",265
"105","9","2","WD43",442
"106","10","2","WD43",458
"107","11","2","WD43",451
"108","12","2","WD43",595
"109","13","3","WD43",493
"110","14","3","WD43",525
"111","15","3","WD43",538
"112","16","3","WD43",535
"113","1","1","WD44",266
"114","2","1","WD44",244
"115","3","1","WD44",267
"116","4","1","WD44",272
"117","5","1","WD44",273
"118","6","1","WD44",278
"119","7","1","WD44",271
"120","8","1","WD44",267
"121","9","2","WD44",446
"122","10","2","WD44",464
"123","11","2","WD44",450
"124","12","2","WD44",595
"125","13","3","WD44",504
"126","14","3","WD44",530
"127","15","3","WD44",544
"128","16","3","WD44",542
"129","1","1","WD50",265
"130","2","1","WD50",238
"131","3","1","WD50",264
"132","4","1","WD50",274
"133","5","1","WD50",276
"134","6","1","WD50",284
"135","7","1","WD50",282
"136","8","1","WD50",273
"137","9","2","WD50",456
"138","10","2","WD50",475
"139","11","2","WD50",462
"140","12","2","WD50",612
"141","13","3","WD50",507
"142","14","3","WD50",543
"143","15","3","WD50",553
"144","16","3","WD50",550
"145","1","1","WD57",272
"146","2","1","WD57",247
"147","3","1","WD57",268
"148","4","1","WD57",273
"149","5","1","WD57",278
"150","6","1","WD57",279
"151","7","1","WD57",281
"152","8","1","WD57",274
"153","9","2","WD57",468
"154","10","2","WD57",484
"155","11","2","WD57",466
"156","12","2","WD57",618
"157","13","3","WD57",518
"158","14","3","WD57",544
"159","15","3","WD57",555
"160","16","3","WD57",553
"161","1","1","WD64",278
"162","2","1","WD64",245
"163","3","1","WD64",269
"164","4","1","WD64",275
"165","5","1","WD64",280
"166","6","1","WD64",281
"167","7","1","WD64",284
"168","8","1","WD64",278
"169","9","2","WD64",478
"170","10","2","WD64",496
"171","11","2","WD64",472
"172","12","2","WD64",628
"173","13","3","WD64",525
"174","14","3","WD64",559
"175","15","3","WD64",548
"176","16","3","WD64",569
